strategy,basket_size,top1_accuracy,top3_accuracy,coverage,mean_confidence
signature_weight=0,1,0.21705426356589147,0.3333333333333333,0.43,0.6219304856930452
signature_weight=0,2,0.2930232558139535,0.3813953488372093,0.7166666666666667,0.5331917953727953
signature_weight=0,3,0.33460076045627374,0.4524714828897338,0.8766666666666667,0.47218548396472526
signature_weight=0,4,0.36619718309859156,0.5105633802816901,0.9466666666666667,0.3879249529416249
signature_weight=0,5,0.3877551020408163,0.5714285714285714,0.98,0.30725105086577004
signature_weight=0.05,1,0.1504424778761062,0.21238938053097345,0.37666666666666665,0.5892983390482842
signature_weight=0.05,2,0.27699530516431925,0.36619718309859156,0.71,0.5375945183670171
signature_weight=0.05,3,0.31343283582089554,0.4701492537313433,0.8933333333333333,0.45663655299191014
signature_weight=0.05,4,0.38095238095238093,0.5128205128205128,0.91,0.3927211166501716
signature_weight=0.05,5,0.35517241379310344,0.5551724137931034,0.9666666666666667,0.30298488516244776
signature_weight=0.1,1,0.2719298245614035,0.30701754385964913,0.38,0.6206088864727983
signature_weight=0.1,2,0.3253588516746411,0.45454545454545453,0.6966666666666667,0.5490292224088446
signature_weight=0.1,3,0.3590733590733591,0.4942084942084942,0.8633333333333333,0.4641347619948349
signature_weight=0.1,4,0.3345070422535211,0.5,0.9466666666666667,0.3512202792984571
signature_weight=0.1,5,0.3356164383561644,0.5171232876712328,0.9733333333333334,0.3122696584365578
signature_weight=0.25,1,0.2540983606557377,0.3442622950819672,0.4066666666666667,0.6536973763191612
signature_weight=0.25,2,0.2824074074074074,0.375,0.72,0.53151315881729
signature_weight=0.25,3,0.30970149253731344,0.4216417910447761,0.8933333333333333,0.46118741588639384
signature_weight=0.25,4,0.33695652173913043,0.4782608695652174,0.92,0.34943876984047767
signature_weight=0.25,5,0.31958762886597936,0.5154639175257731,0.97,0.27536398542524543
