antecedent,consequent,support,confidence,lift,pmi,antecedent_size,consequent_size,antecedent_set,consequent_set,rule_type,cuisine_involved,support_scope
cuisine:indian,sugar,0.035546038543897214,0.7109207708779444,1.393494228751312,0.4787070274369829,1,1,frozenset({'cuisine:indian'}),frozenset({'sugar'}),cuisine_to_ingredient,indian,local:indian
cuisine:jamaican,sugar,0.032548179871520345,0.6509635974304069,1.2759706190975868,0.35159510953364387,1,1,frozenset({'cuisine:jamaican'}),frozenset({'sugar'}),cuisine_to_ingredient,jamaican,local:jamaican
cuisine:southern_us,sugar,0.030835117773019272,0.6167023554603854,1.2088142707240295,0.2735925975323706,1,1,frozenset({'cuisine:southern_us'}),frozenset({'sugar'}),cuisine_to_ingredient,southern_us,local:southern_us
cuisine:russian,sugar,0.030406852248394005,0.6081370449678801,1.1920251836306401,0.2534147155947402,1,1,frozenset({'cuisine:russian'}),frozenset({'sugar'}),cuisine_to_ingredient,russian,local:russian
cuisine:korean,pasta,0.029978586723768737,0.5995717344753747,2.9427220178665263,1.5571512655583069,1,1,frozenset({'cuisine:korean'}),frozenset({'pasta'}),cuisine_to_ingredient,korean,local:korean
cuisine:chinese,pasta,0.029443254817987152,0.588865096359743,2.890173410404624,1.5311560570253622,1,1,frozenset({'cuisine:chinese'}),frozenset({'pasta'}),cuisine_to_ingredient,chinese,local:chinese
cuisine:vietnamese,rice,0.028586723768736617,0.5717344753747323,3.5623749166110743,1.8328393586270568,1,1,frozenset({'cuisine:vietnamese'}),frozenset({'rice'}),cuisine_to_ingredient,vietnamese,local:vietnamese
cuisine:moroccan,yeast,0.025910064239828695,0.5182012847965739,2.652054794520548,1.4071105835072149,1,1,frozenset({'cuisine:moroccan'}),frozenset({'yeast'}),cuisine_to_ingredient,moroccan,local:moroccan
cuisine:thai,rice,0.02537473233404711,0.5074946466809421,3.162108072048032,1.660886675837762,1,1,frozenset({'cuisine:thai'}),frozenset({'rice'}),cuisine_to_ingredient,thai,local:thai
cuisine:filipino,corn,0.025267665952890792,0.5053533190578159,1.6555594528235709,0.727318820311251,1,1,frozenset({'cuisine:filipino'}),frozenset({'corn'}),cuisine_to_ingredient,filipino,local:filipino
cuisine:vietnamese,chicken,0.024089935760171308,0.4817987152034261,1.9719544259421558,0.9796262098157177,1,1,frozenset({'cuisine:vietnamese'}),frozenset({'chicken'}),cuisine_to_ingredient,vietnamese,local:vietnamese
cuisine:thai,corn,0.023554603854389723,0.47109207708779444,1.5433181339880746,0.6260354844740693,1,1,frozenset({'cuisine:thai'}),frozenset({'corn'}),cuisine_to_ingredient,thai,local:thai
cuisine:greek,yeast,0.023126338329764455,0.4625267665952891,2.367123287671233,1.243134848396089,1,1,frozenset({'cuisine:greek'}),frozenset({'yeast'}),cuisine_to_ingredient,greek,local:greek
cuisine:korean,chicken,0.022055674518201285,0.4411134903640257,1.8054338299737072,0.852345545781899,1,1,frozenset({'cuisine:korean'}),frozenset({'chicken'}),cuisine_to_ingredient,korean,local:korean
cuisine:japanese,pasta,0.021948608137044967,0.43897216274089934,2.1544929059379925,1.107348348118786,1,1,frozenset({'cuisine:japanese'}),frozenset({'pasta'}),cuisine_to_ingredient,japanese,local:japanese
cuisine:filipino,grape,0.021734475374732335,0.4346895074946467,1.9123881300047103,0.9353753561671609,1,1,frozenset({'cuisine:filipino'}),frozenset({'grape'}),cuisine_to_ingredient,filipino,local:filipino
cuisine:spanish,yeast,0.021306209850107068,0.4261241970021413,2.180821917808219,1.1248719667762692,1,1,frozenset({'cuisine:spanish'}),frozenset({'yeast'}),cuisine_to_ingredient,spanish,local:spanish
cuisine:moroccan,cornmeal,0.0208779443254818,0.41755888650963596,6.132075471698113,2.616375453352618,1,1,frozenset({'cuisine:moroccan'}),frozenset({'cornmeal'}),cuisine_to_ingredient,moroccan,local:moroccan
cuisine:vietnamese,corn,0.020556745182012847,0.41113490364025695,1.3468958260259558,0.42963827167056584,1,1,frozenset({'cuisine:vietnamese'}),frozenset({'corn'}),cuisine_to_ingredient,vietnamese,local:vietnamese
cuisine:chinese,char,0.020342612419700215,0.4068522483940043,7.933194154488518,2.98790185748213,1,1,frozenset({'cuisine:chinese'}),frozenset({'char'}),cuisine_to_ingredient,chinese,local:chinese
cuisine:italian,yeast,0.02012847965738758,0.4025695931477516,2.0602739726027397,1.0428361979102574,1,1,frozenset({'cuisine:italian'}),frozenset({'yeast'}),cuisine_to_ingredient,italian,local:italian
cuisine:filipino,pasta,0.02012847965738758,0.4025695931477516,1.9758276405675248,0.9824571002909775,1,1,frozenset({'cuisine:filipino'}),frozenset({'pasta'}),cuisine_to_ingredient,filipino,local:filipino
cuisine:korean,corn,0.02012847965738758,0.4025695931477516,1.3188354963170819,0.39926462262704693,1,1,frozenset({'cuisine:korean'}),frozenset({'corn'}),cuisine_to_ingredient,korean,local:korean
cuisine:greek,beef,0.020021413276231262,0.4004282655246253,2.092893116955792,1.0654986357335086,1,1,frozenset({'cuisine:greek'}),frozenset({'beef'}),cuisine_to_ingredient,greek,local:greek
cuisine:chinese,chicken,0.01980728051391863,0.3961456102783726,1.6213847502191059,0.6972264791149927,1,1,frozenset({'cuisine:chinese'}),frozenset({'chicken'}),cuisine_to_ingredient,chinese,local:chinese
cuisine:jamaican,corn,0.01980728051391863,0.3961456102783726,1.2977902490354263,0.37605723146572195,1,1,frozenset({'cuisine:jamaican'}),frozenset({'corn'}),cuisine_to_ingredient,jamaican,local:jamaican
cuisine:mexican,corn,0.019271948608137045,0.3854389721627409,1.2627148368993337,0.3365288672790843,1,1,frozenset({'cuisine:mexican'}),frozenset({'corn'}),cuisine_to_ingredient,mexican,local:mexican
cuisine:russian,chicken,0.01873661670235546,0.3747323340471092,1.5337423312883434,0.6170561304310093,1,1,frozenset({'cuisine:russian'}),frozenset({'chicken'}),cuisine_to_ingredient,russian,local:russian
cuisine:korean,cereal,0.018629550321199142,0.37259100642398285,3.6287799791449427,1.8594845857179596,1,1,frozenset({'cuisine:korean'}),frozenset({'cereal'}),cuisine_to_ingredient,korean,local:korean
cuisine:chinese,corn,0.018522483940042828,0.37044967880085655,1.2136092599088042,0.27930399858613436,1,1,frozenset({'cuisine:chinese'}),frozenset({'corn'}),cuisine_to_ingredient,chinese,local:chinese
cuisine:indian,lentil,0.018201284796573874,0.3640256959314775,14.782608695652174,3.8858289800806887,1,1,frozenset({'cuisine:indian'}),frozenset({'lentil'}),cuisine_to_ingredient,indian,local:indian
cuisine:irish,tikka paste,0.017665952890792293,0.3533190578158458,2.7731092436974794,1.4715044509378725,1,1,frozenset({'cuisine:irish'}),frozenset({'tikka paste'}),cuisine_to_ingredient,irish,local:irish
cuisine:irish,crabmeat,0.016916488222698072,0.33832976445396146,2.7054794520547945,1.4358842841844477,1,1,frozenset({'cuisine:irish'}),frozenset({'crabmeat'}),cuisine_to_ingredient,irish,local:irish
cuisine:british,tikka paste,0.016595289079229122,0.33190578158458245,2.6050420168067228,1.381306641966294,1,1,frozenset({'cuisine:british'}),frozenset({'tikka paste'}),cuisine_to_ingredient,british,local:british
cuisine:filipino,"corn, sugar",0.016595289079229122,0.33190578158458245,1.9254658385093169,0.9452075271596204,1,2,frozenset({'cuisine:filipino'}),"frozenset({'corn', 'sugar'})",cuisine_to_ingredient,filipino,local:filipino
cuisine:indian,butter,0.016488222698072805,0.3297644539614561,7.837150127226463,2.970329133323657,1,1,frozenset({'cuisine:indian'}),frozenset({'butter'}),cuisine_to_ingredient,indian,local:indian
cuisine:moroccan,cucumber,0.016488222698072805,0.3297644539614561,2.081081081081081,1.0573331750659514,1,1,frozenset({'cuisine:moroccan'}),frozenset({'cucumber'}),cuisine_to_ingredient,moroccan,local:moroccan
cuisine:southern_us,tikka paste,0.016381156316916487,0.32762312633832974,2.5714285714285716,1.3625700793847084,1,1,frozenset({'cuisine:southern_us'}),frozenset({'tikka paste'}),cuisine_to_ingredient,southern_us,local:southern_us
cuisine:southern_us,beef,0.015845824411134905,0.3169164882226981,1.6564073866815894,0.7280575414748217,1,1,frozenset({'cuisine:southern_us'}),frozenset({'beef'}),cuisine_to_ingredient,southern_us,local:southern_us
cuisine:korean,"chicken, pasta",0.015738758029978588,0.3147751605995717,4.916387959866221,2.297598765525622,1,2,frozenset({'cuisine:korean'}),"frozenset({'chicken', 'pasta'})",cuisine_to_ingredient,korean,local:korean
cuisine:japanese,chicken,0.01563169164882227,0.31263383297644537,1.2795793163891322,0.3556695774786978,1,1,frozenset({'cuisine:japanese'}),frozenset({'chicken'}),cuisine_to_ingredient,japanese,local:japanese
cuisine:southern_us,crabmeat,0.015524625267665952,0.31049250535331907,2.482876712328767,1.3120126260222793,1,1,frozenset({'cuisine:southern_us'}),frozenset({'crabmeat'}),cuisine_to_ingredient,southern_us,local:southern_us
cuisine:french,chicken,0.015417558886509636,0.3083511777301927,1.2620508326029798,0.335770020040993,1,1,frozenset({'cuisine:french'}),frozenset({'chicken'}),cuisine_to_ingredient,french,local:french
cuisine:spanish,tagliatelle,0.015310492505353318,0.30620985010706636,1.8877887788778875,0.9166973533054383,1,1,frozenset({'cuisine:spanish'}),frozenset({'tagliatelle'}),cuisine_to_ingredient,spanish,local:spanish
cuisine:chinese,grape,0.015310492505353318,0.30620985010706636,1.3471502590673574,0.429910775760374,1,1,frozenset({'cuisine:chinese'}),frozenset({'grape'}),cuisine_to_ingredient,chinese,local:chinese
cuisine:moroccan,"sugar, yeast",0.015096359743040685,0.3019271948608137,2.6503759398496243,1.4061970117849663,1,2,frozenset({'cuisine:moroccan'}),"frozenset({'yeast', 'sugar'})",cuisine_to_ingredient,moroccan,local:moroccan
"almond milk, milk",cuisine:moroccan,0.004282655246252677,1.0,20.0,4.321928094887363,2,1,"frozenset({'almond milk', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"cracker, lemonade",cuisine:cajun_creole,0.0033190578158458243,1.0,20.0,4.321928094887363,2,1,"frozenset({'cracker', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"milk, sea bream",cuisine:moroccan,0.0032119914346895075,1.0,20.0,4.321928094887362,2,1,"frozenset({'sea bream', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, cornmeal, yeast",cuisine:moroccan,0.0029978586723768737,1.0,20.0,4.321928094887363,3,1,"frozenset({'yeast', 'almond milk', 'cornmeal'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"lemonade, mahlab",cuisine:cajun_creole,0.0029978586723768737,1.0,20.0,4.321928094887363,2,1,"frozenset({'mahlab', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"almond milk, milk, yeast",cuisine:moroccan,0.00278372591006424,1.0,20.0,4.321928094887363,3,1,"frozenset({'yeast', 'almond milk', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"beef, coconut, harissa",cuisine:greek,0.0026766595289079227,1.0,20.0,4.321928094887362,3,1,"frozenset({'harissa', 'beef', 'coconut'})",frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"almond milk, cornmeal, milk",cuisine:moroccan,0.002462526766595289,1.0,20.0,4.321928094887363,3,1,"frozenset({'almond milk', 'cornmeal', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, cucumber, yeast",cuisine:moroccan,0.002462526766595289,1.0,20.0,4.321928094887363,3,1,"frozenset({'cucumber', 'yeast', 'almond milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"bitter gourd, lemonade, sugar",cuisine:cajun_creole,0.002462526766595289,1.0,20.0,4.321928094887363,3,1,"frozenset({'bitter gourd', 'lemonade', 'sugar'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"butter-margarine blend, lemonade",cuisine:cajun_creole,0.002462526766595289,1.0,20.0,4.321928094887363,2,1,"frozenset({'butter-margarine blend', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"salsa, soda",cuisine:korean,0.002462526766595289,1.0,20.0,4.321928094887363,2,1,"frozenset({'salsa', 'soda'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean,local:korean
"almond milk, potato",cuisine:moroccan,0.002355460385438972,1.0,20.0,4.321928094887362,2,1,"frozenset({'potato', 'almond milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"filé, sugar",cuisine:moroccan,0.002355460385438972,1.0,20.0,4.321928094887362,2,1,"frozenset({'filé', 'sugar'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"ginger, lemonade",cuisine:cajun_creole,0.002355460385438972,1.0,20.0,4.321928094887362,2,1,"frozenset({'ginger', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"beef, harissa, salmon",cuisine:greek,0.0022483940042826553,1.0,20.0,4.321928094887363,3,1,"frozenset({'harissa', 'beef', 'salmon'})",frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"bitter gourd, corn, lemonade",cuisine:cajun_creole,0.0022483940042826553,1.0,20.0,4.321928094887363,3,1,"frozenset({'bitter gourd', 'corn', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"juice, soy sauce",cuisine:italian,0.0022483940042826553,1.0,20.0,4.321928094887363,2,1,"frozenset({'soy sauce', 'juice'})",frozenset({'cuisine:italian'}),ingredient_to_cuisine,italian,local:italian
"cracker, lemonade, sugar",cuisine:cajun_creole,0.0021413276231263384,1.0,20.0,4.321928094887363,3,1,"frozenset({'cracker', 'lemonade', 'sugar'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"filé, yeast",cuisine:moroccan,0.0021413276231263384,1.0,20.0,4.321928094887363,2,1,"frozenset({'filé', 'yeast'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"apple juice concentrate, mahlab",cuisine:cajun_creole,0.0020342612419700216,1.0,20.0,4.321928094887363,2,1,"frozenset({'mahlab', 'apple juice concentrate'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, cracker, lemonade",cuisine:cajun_creole,0.0020342612419700216,1.0,20.0,4.321928094887363,3,1,"frozenset({'bitter gourd', 'cracker', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"fava beans, noodle",cuisine:mexican,0.0020342612419700216,1.0,20.0,4.321928094887363,2,1,"frozenset({'fava beans', 'noodle'})",frozenset({'cuisine:mexican'}),ingredient_to_cuisine,mexican,local:mexican
"almond milk, milk, sugar",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'almond milk', 'sugar', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, sea bream",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'sea bream', 'almond milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, vermicelli",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'vermicelli', 'almond milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"buckwheat, lentil",cuisine:indian,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'lentil', 'buckwheat'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian,local:indian
"butter-margarine blend, mahlab",cuisine:cajun_creole,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'mahlab', 'butter-margarine blend'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"chard, ice cream",cuisine:mexican,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'chard', 'ice cream'})",frozenset({'cuisine:mexican'}),ingredient_to_cuisine,mexican,local:mexican
"chicken stock, orange, yeast",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'yeast', 'orange', 'chicken stock'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"corn, lemonade, mahlab",cuisine:cajun_creole,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'mahlab', 'corn', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"cracker, limoncello",cuisine:cajun_creole,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'limoncello', 'cracker'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"ice cream, noodle",cuisine:mexican,0.0019271948608137045,1.0,20.0,4.321928094887363,2,1,"frozenset({'ice cream', 'noodle'})",frozenset({'cuisine:mexican'}),ingredient_to_cuisine,mexican,local:mexican
"lemonade, mahlab, sugar",cuisine:cajun_creole,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'mahlab', 'lemonade', 'sugar'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"milk, sea bream, sugar",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'sea bream', 'sugar', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"milk, sea bream, yeast",cuisine:moroccan,0.0019271948608137045,1.0,20.0,4.321928094887363,3,1,"frozenset({'sea bream', 'yeast', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, goat",cuisine:moroccan,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'goat', 'almond milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"beef, coconut, salmon",cuisine:greek,0.0018201284796573877,1.0,20.0,4.321928094887362,3,1,"frozenset({'salmon', 'beef', 'coconut'})",frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"bitter gourd, lemonade, mahlab",cuisine:cajun_creole,0.0018201284796573877,1.0,20.0,4.321928094887362,3,1,"frozenset({'mahlab', 'bitter gourd', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"coconut, harissa, salmon",cuisine:greek,0.0018201284796573877,1.0,20.0,4.321928094887362,3,1,"frozenset({'harissa', 'salmon', 'coconut'})",frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"corn, filé",cuisine:moroccan,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'filé', 'corn'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"cucumber, filé",cuisine:moroccan,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'cucumber', 'filé'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"lentil, stock",cuisine:indian,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'lentil', 'stock'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian,local:indian
"limoncello, mahlab",cuisine:cajun_creole,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'mahlab', 'limoncello'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"limoncello, sausage",cuisine:cajun_creole,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'limoncello', 'sausage'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
moroccan seasoning,cuisine:greek,0.0018201284796573877,1.0,20.0,4.321928094887362,1,1,frozenset({'moroccan seasoning'}),frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"pie crust, yaki-nori",cuisine:brazilian,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'yaki-nori', 'pie crust'})",frozenset({'cuisine:brazilian'}),ingredient_to_cuisine,brazilian,local:brazilian
"pomegranate molasses, soy milk",cuisine:chinese,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'pomegranate molasses', 'soy milk'})",frozenset({'cuisine:chinese'}),ingredient_to_cuisine,chinese,local:chinese
"tagliatelle, tortilla chips",cuisine:jamaican,0.0018201284796573877,1.0,20.0,4.321928094887362,2,1,"frozenset({'tortilla chips', 'tagliatelle'})",frozenset({'cuisine:jamaican'}),ingredient_to_cuisine,jamaican,local:jamaican
"bitter gourd, butter-margarine blend, sugar",cuisine:cajun_creole,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'bitter gourd', 'butter-margarine blend', 'sugar'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, lemonade, sausage",cuisine:cajun_creole,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'bitter gourd', 'lemonade', 'sausage'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, lemonade, tikka paste",cuisine:cajun_creole,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'bitter gourd', 'tikka paste', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"brown rice, cereal, seasoning",cuisine:jamaican,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'cereal', 'seasoning', 'brown rice'})",frozenset({'cuisine:jamaican'}),ingredient_to_cuisine,jamaican,local:jamaican
"butter, corn flour, semolina",cuisine:indian,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'corn flour', 'butter', 'semolina'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian,local:indian
"cereal, fava beans",cuisine:mexican,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'cereal', 'fava beans'})",frozenset({'cuisine:mexican'}),ingredient_to_cuisine,mexican,local:mexican
"chicken, tenderloin",cuisine:chinese,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'chicken', 'tenderloin'})",frozenset({'cuisine:chinese'}),ingredient_to_cuisine,chinese,local:chinese
"corn flour, truffle",cuisine:indian,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'truffle', 'corn flour'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian,local:indian
"cornflake, currant jelly",cuisine:thai,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'currant jelly', 'cornflake'})",frozenset({'cuisine:thai'}),ingredient_to_cuisine,thai,local:thai
"cracker, lemonade, sausage",cuisine:cajun_creole,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'cracker', 'lemonade', 'sausage'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"garlic salt, pike, sugar",cuisine:spanish,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'garlic salt', 'pike', 'sugar'})",frozenset({'cuisine:spanish'}),ingredient_to_cuisine,spanish,local:spanish
"pasta, salsa, soda",cuisine:korean,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'salsa', 'pasta', 'soda'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean,local:korean
"pineapple, yaki-nori",cuisine:brazilian,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'yaki-nori', 'pineapple'})",frozenset({'cuisine:brazilian'}),ingredient_to_cuisine,brazilian,local:brazilian
"rice, shell, tofu",cuisine:thai,0.0017130620985010706,1.0,20.0,4.321928094887362,3,1,"frozenset({'tofu', 'rice', 'shell'})",frozenset({'cuisine:thai'}),ingredient_to_cuisine,thai,local:thai
"seasoning, tortilla chips",cuisine:jamaican,0.0017130620985010706,1.0,20.0,4.321928094887362,2,1,"frozenset({'tortilla chips', 'seasoning'})",frozenset({'cuisine:jamaican'}),ingredient_to_cuisine,jamaican,local:jamaican
"almond milk, cornmeal, cucumber",cuisine:moroccan,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'cucumber', 'almond milk', 'cornmeal'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, cucumber, milk",cuisine:moroccan,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'cucumber', 'almond milk', 'milk'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, eel, yeast",cuisine:moroccan,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'yeast', 'almond milk', 'eel'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"almond milk, grape, yeast",cuisine:moroccan,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'yeast', 'almond milk', 'grape'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan,local:moroccan
"basil, soy milk",cuisine:chinese,0.0016059957173447537,1.0,20.0,4.321928094887362,2,1,"frozenset({'basil', 'soy milk'})",frozenset({'cuisine:chinese'}),ingredient_to_cuisine,chinese,local:chinese
"baton, coconut",cuisine:greek,0.0016059957173447537,1.0,20.0,4.321928094887362,2,1,"frozenset({'coconut', 'baton'})",frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek,local:greek
"biscuit mix, kampyo",cuisine:vietnamese,0.0016059957173447537,1.0,20.0,4.321928094887362,2,1,"frozenset({'biscuit mix', 'kampyo'})",frozenset({'cuisine:vietnamese'}),ingredient_to_cuisine,vietnamese,local:vietnamese
"bitter gourd, butter-margarine blend, lemonade",cuisine:cajun_creole,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'bitter gourd', 'butter-margarine blend', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, cucumber, lemonade",cuisine:cajun_creole,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'cucumber', 'bitter gourd', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, lemonade, rice",cuisine:cajun_creole,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'bitter gourd', 'rice', 'lemonade'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"bitter gourd, limoncello",cuisine:cajun_creole,0.0016059957173447537,1.0,20.0,4.321928094887362,2,1,"frozenset({'limoncello', 'bitter gourd'})",frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole,local:cajun_creole
"brown rice, cracker, seasoning",cuisine:jamaican,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'seasoning', 'brown rice', 'cracker'})",frozenset({'cuisine:jamaican'}),ingredient_to_cuisine,jamaican,local:jamaican
"butter, lentil, parsley",cuisine:indian,0.0016059957173447537,1.0,20.0,4.321928094887362,3,1,"frozenset({'lentil', 'butter', 'parsley'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian,local:indian
